"cle_unique";"colonne";"valeur"
E4245_P1_14;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E4245_P1_14;source_du_fichier;GLASSDOOR
E4245_P1_14;type_du_fichier;AVIS-SOC
E4245_P1_14;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13564-AVIS-SOC-GLASSDOOR-E4245_P1.html
E4245_P1_14;taille_du_fichier;52
E4245_P2_15;date_heure_recuperation;2023-12-13
E4245_P2_15;nom_fichier;2023-12-13-10-13564-AVIS-SOC-GLASSDOOR-E4245_P2.html
E4245_P2_15;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E4245_P2_15;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E4245_P2_15;source_du_fichier;GLASSDOOR
E4245_P2_15;type_du_fichier;AVIS-SOC
E4245_P2_15;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13564-AVIS-SOC-GLASSDOOR-E4245_P2.html
E4245_P2_15;taille_du_fichier;52
E1394648_P1_16;date_heure_recuperation;2023-12-13
E1394648_P1_16;nom_fichier;2023-12-13-10-13570-AVIS-SOC-GLASSDOOR-E1394648_P1.html
E1394648_P1_16;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E1394648_P1_16;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E1394648_P1_16;source_du_fichier;GLASSDOOR
E1394648_P1_16;type_du_fichier;AVIS-SOC
E1394648_P1_16;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13570-AVIS-SOC-GLASSDOOR-E1394648_P1.html
E1394648_P1_16;taille_du_fichier;55
E1061225_P1_17;date_heure_recuperation;2023-12-13
E1061225_P1_17;nom_fichier;2023-12-13-10-13571-AVIS-SOC-GLASSDOOR-E1061225_P1.html
E1061225_P1_17;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E1061225_P1_17;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E1061225_P1_17;source_du_fichier;GLASSDOOR
E1061225_P1_17;type_du_fichier;AVIS-SOC
E1061225_P1_17;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13571-AVIS-SOC-GLASSDOOR-E1061225_P1.html
E1061225_P1_17;taille_du_fichier;55
E1061225_P2_18;date_heure_recuperation;2023-12-13
E1061225_P2_18;nom_fichier;2023-12-13-10-13571-AVIS-SOC-GLASSDOOR-E1061225_P2.html
E1061225_P2_18;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E1061225_P2_18;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E1061225_P2_18;source_du_fichier;GLASSDOOR
E1061225_P2_18;type_du_fichier;AVIS-SOC
E1061225_P2_18;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13571-AVIS-SOC-GLASSDOOR-E1061225_P2.html
E1061225_P2_18;taille_du_fichier;55
E2098670_P1_19;date_heure_recuperation;2023-12-13
E2098670_P1_19;nom_fichier;2023-12-13-10-13572-AVIS-SOC-GLASSDOOR-E2098670_P1.html
E2098670_P1_19;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E2098670_P1_19;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E2098670_P1_19;source_du_fichier;GLASSDOOR
E2098670_P1_19;type_du_fichier;AVIS-SOC
